GO_Term,AUROC,From_Level,AUROC_difference,Ones,Zeros,Size,TL,Balance,Ontology,Frozen,LR,Data,Time
GO:0018193,0.702,5,-0.0539,2028,2031,4059,1,0.9993,bp,0,0.0001,Aug,15.6113
GO:0006259,0.6842,5,-0.0218,1918,1957,3875,1,0.9899,bp,0,0.0001,Aug,8.4862
GO:0016070,0.6252,5,-0.1078,2092,2076,4168,1,0.9962,bp,0,0.0001,Aug,8.9923
GO:0010605,0.6448,5,-0.0414,4308,4299,8607,1,0.999,bp,0,0.0001,Aug,142.213
GO:0018193,0.7182,6,-0.0036,2028,2031,4059,1,0.9993,bp,0,0.0001,Aug,8.8954
GO:0006259,0.6491,6,-0.0365,1918,1957,3875,1,0.9899,bp,0,0.0001,Aug,8.4039
GO:0016070,0.6178,6,0.0136,2092,2076,4168,1,0.9962,bp,0,0.0001,Aug,11.8284
GO:0010605,0.7043,6,-0.0273,3042,3038,6080,1,0.9993,bp,0,0.0001,Aug,12.1535
GO:0008152,0.7511,2,0.0066,13627,13641,27268,1,0.9995,bp,0,0.0001,Aug,143.7633
GO:0050789,0.6399,2,-0.0491,15629,15644,31273,1,0.9995,bp,0,0.0001,Aug,515.6907
GO:0048856,0.6459,2,0.017,5178,5119,10297,1,0.9943,bp,0,0.0001,Aug,47.6302
GO:0043170,0.6297,2,-0.1266,7436,7430,14866,1,0.9996,bp,0,0.0001,Aug,65.1462
GO:0044238,0.6149,2,-0.0863,10691,10678,21369,1,0.9994,bp,0,0.0001,Aug,170.6004
GO:0048518,0.6201,2,-0.1381,8599,8605,17204,1,0.9997,bp,0,0.0001,Aug,113.301
GO:0050794,0.6384,2,-0.0817,14404,14351,28755,1,0.9982,bp,0,0.0001,Aug,376.851
GO:0048519,0.6164,2,-0.1343,9382,9460,18842,1,0.9959,bp,0,0.0001,Aug,57.0493
GO:0048513,0.7271,2,0.0331,3476,3470,6946,1,0.9991,bp,0,0.0001,Aug,32.8291
GO:0043412,0.7547,2,0.0559,4620,4662,9282,1,0.9955,bp,0,0.0001,Aug,86.4084
GO:0006139,0.6657,2,-0.0456,6763,6771,13534,1,0.9994,bp,0,0.0001,Aug,27.2393
GO:0019538,0.6909,2,-0.0422,6968,6901,13869,1,0.9952,bp,0,0.0001,Aug,87.3355
GO:0048522,0.6316,2,-0.0794,8094,8109,16203,1,0.9991,bp,0,0.0001,Aug,75.3662
GO:0019222,0.6643,2,-0.0627,7652,7635,15287,1,0.9989,bp,0,0.0001,Aug,75.8957
GO:0048523,0.6074,2,-0.0783,8619,8664,17283,1,0.9974,bp,0,0.0001,Aug,80.6807
GO:0007423,0.6425,2,-0.0396,2919,2945,5864,1,0.9956,bp,0,0.0001,Aug,45.4439
GO:0090304,0.7497,2,-0.023,4386,4392,8778,1,0.9993,bp,0,0.0001,Aug,36.0684
GO:0036211,0.7635,2,-0.0066,4685,4631,9316,1,0.9942,bp,0,0.0001,Aug,76.2252
GO:0009893,0.65,2,-0.0855,3992,4027,8019,1,0.9956,bp,0,0.0001,Aug,33.0012
GO:0060255,0.6829,2,-0.0439,6878,6865,13743,1,0.9991,bp,0,0.0001,Aug,139.321
GO:0009892,0.6315,2,-0.1126,4804,4826,9630,1,0.9977,bp,0,0.0001,Aug,142.2791
GO:0006259,0.6736,2,-0.0253,2631,2646,5277,1,0.9972,bp,0,0.0001,Aug,36.6082
GO:0016070,0.7063,2,-0.0886,2812,2750,5562,1,0.9889,bp,0,0.0001,Aug,23.3762
GO:0018193,0.6303,2,-0.1549,3567,3562,7129,1,0.9993,bp,0,0.0001,Aug,77.2044
GO:0010605,0.6779,2,-0.0362,4450,4398,8848,1,0.9941,bp,0,0.0001,Aug,54.2725
GO:0043170,0.6562,3,-0.0883,7436,7430,14866,1,0.9996,bp,0,0.0001,Aug,111.6402
